,cost,reduced_scenario_5,probability_5,reduced_scenario_10,probability_10,reduced_scenario_15,probability_15,reduced_scenario_20,probability_20,reduced_scenario_30,probability_30
192,345151466.3109505,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0
193,343598556.3492661,386.0,0.0,254.0,0.0,76.0,0.0,76.0,0.0,131.0,0.0
194,351736434.44800615,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
195,341766459.7501396,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
196,343243621.0808504,386.0,0.0,254.0,0.0,76.0,0.0,76.0,0.0,76.0,0.0
197,347466800.20735073,321.0,0.0,321.0,0.0,396.0,0.0,396.0,0.0,396.0,0.0
198,347142399.93324214,321.0,0.0,321.0,0.0,396.0,0.0,60.0,0.0,60.0,0.0
199,346295718.46769625,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
200,350160339.5597189,70.0,0.0,70.0,0.0,200.0,0.07800000000000001,200.0,0.048,200.0,0.020000000000000004
201,340639483.0934206,386.0,0.0,401.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
202,345119460.4515724,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0
203,340998813.23462325,386.0,0.0,386.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
204,342043178.1326173,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
205,350678030.9101633,380.0,0.0,380.0,0.0,200.0,0.0,422.0,0.0,422.0,0.0
206,349058364.80111945,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,266.0,0.0
207,347749646.34169525,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,396.0,0.0
208,341649819.8066691,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
209,350020662.11267173,70.0,0.0,70.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0
210,346841478.4691312,321.0,0.0,321.0,0.0,321.0,0.0,60.0,0.0,60.0,0.0
211,346843795.093613,321.0,0.0,321.0,0.0,321.0,0.0,60.0,0.0,60.0,0.0
212,349561170.8351127,70.0,0.0,70.0,0.0,200.0,0.0,200.0,0.0,114.0,0.0
213,341983058.67110807,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
214,342883311.0513268,386.0,0.0,386.0,0.0,76.0,0.0,76.0,0.0,76.0,0.0
215,342936114.98168254,386.0,0.0,386.0,0.0,76.0,0.0,76.0,0.0,76.0,0.0
216,346247258.57582533,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
217,346903046.1524543,321.0,0.0,321.0,0.0,321.0,0.0,60.0,0.0,60.0,0.0
218,353823821.17398685,380.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0
219,346828523.76207364,321.0,0.0,321.0,0.0,321.0,0.0,60.0,0.0,60.0,0.0
220,354482389.6342105,245.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0,429.0,0.0
221,343713253.9996245,386.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,131.0,0.0
222,344799309.4081756,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,262.0,0.0
223,343509105.66344225,386.0,0.0,254.0,0.0,76.0,0.0,76.0,0.0,131.0,0.0
224,341749950.71263397,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
225,337364658.9762325,386.0,0.0,313.0,0.0,313.0,0.0,313.0,0.0,313.0,0.0
226,345279998.7522461,321.0,0.0,321.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0
227,345653337.2508929,321.0,0.0,321.0,0.0,125.0,0.0,125.0,0.0,97.0,0.0
228,341894979.9242115,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
229,341015031.12850934,386.0,0.0,386.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
230,342058738.54015017,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
231,339631077.3930715,386.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0
232,341578826.41827935,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
233,344385621.68387944,321.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0
234,353209439.6277985,380.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0
235,351839613.22687393,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
236,347169549.8439751,321.0,0.0,321.0,0.0,396.0,0.0,60.0,0.0,60.0,0.0
237,345818873.02727896,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,97.0,0.0
238,347741845.4610214,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,396.0,0.0
239,348720312.03692853,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0
240,347999865.7652974,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,269.0,0.0
241,344169481.04982364,321.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0
242,351602063.88367826,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
243,348115597.45570767,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,269.0,0.0
244,348169621.4957704,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,269.0,0.0
245,356410170.8042197,245.0,0.064,245.0,0.036000000000000004,245.0,0.036000000000000004,245.0,0.02600000000000001,245.0,0.014
246,349794124.3021,70.0,0.0,70.0,0.0,200.0,0.0,200.0,0.0,114.0,0.0
247,344372413.9643458,321.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0
248,338521999.83035463,386.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0,248.0,0.022000000000000006
249,350022314.8891639,70.0,0.0,70.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0
250,342490676.27490884,386.0,0.0,386.0,0.0,76.0,0.0,76.0,0.0,35.0,0.0
251,354010717.0115145,380.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0
252,340019151.5266943,386.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0,49.0,0.0
253,344089586.7678498,386.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0
254,344174343.1662374,321.0,0.0,254.0,0.18200000000000005,254.0,0.08600000000000001,254.0,0.08600000000000001,254.0,0.048
255,345103802.4829797,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0
256,349089285.42028964,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,266.0,0.0
257,347315402.1141001,321.0,0.0,321.0,0.0,396.0,0.0,60.0,0.0,60.0,0.0
258,339746034.4820189,386.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0
259,347038135.2872992,321.0,0.0,321.0,0.0,396.0,0.0,60.0,0.0,60.0,0.0
260,345035382.671886,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,125.0,0.0
261,339767270.6290082,386.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0
262,344703714.2866167,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,262.0,0.04000000000000001
263,341585699.3658989,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
264,341597704.28177947,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
265,340358831.5610034,386.0,0.0,401.0,0.0,100.0,0.0,100.0,0.0,49.0,0.0
266,349133666.9441402,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,266.0,0.030000000000000013
267,342943891.75698346,386.0,0.0,386.0,0.0,76.0,0.0,76.0,0.0,76.0,0.0
268,350361043.0083896,380.0,0.0,380.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0
269,348086793.9345932,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,269.0,0.04600000000000001
270,346201330.11498535,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
271,344048230.42365044,386.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0
272,341136382.66669345,386.0,0.0,386.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
273,353710102.81972003,380.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0
274,351947006.5838006,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
275,346607986.4380928,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
276,353635374.0162601,380.0,0.0,276.0,0.05,276.0,0.05,276.0,0.05,276.0,0.04000000000000001
277,350941855.9085193,380.0,0.0,380.0,0.0,200.0,0.0,422.0,0.0,422.0,0.0
278,358505840.7779409,245.0,0.0,245.0,0.0,245.0,0.0,278.0,0.014,278.0,0.014
279,351580319.4694237,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
280,341591628.7512437,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0
281,346482804.5067022,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
282,344609848.01051915,321.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,262.0,0.0
283,349781952.2629579,70.0,0.0,70.0,0.0,200.0,0.0,200.0,0.0,114.0,0.0
284,357968152.58327776,245.0,0.0,245.0,0.0,245.0,0.0,278.0,0.0,278.0,0.0
285,347787013.4028332,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,396.0,0.0
286,351433675.021163,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
287,348044292.96884435,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,269.0,0.0
288,345866818.1189355,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,97.0,0.0
289,349443391.2585794,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,266.0,0.0
290,346342409.21971667,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
291,343767975.0451907,386.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,131.0,0.0
292,346542060.4289939,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
293,344189055.216318,321.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0
294,347762862.70167774,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,396.0,0.0
295,342900845.9948495,386.0,0.0,386.0,0.0,76.0,0.0,76.0,0.0,76.0,0.0
296,343582401.2938622,386.0,0.0,254.0,0.0,76.0,0.0,76.0,0.0,131.0,0.0
297,343375201.5331727,386.0,0.0,254.0,0.0,76.0,0.0,76.0,0.0,131.0,0.0
298,344801226.9135721,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,262.0,0.0
299,332478906.06185615,386.0,0.0,313.0,0.0,313.0,0.0,26.0,0.0,26.0,0.0
300,342357820.81677115,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,35.0,0.0
301,348601067.9689183,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0
302,351960156.53923225,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
303,342669393.8045601,386.0,0.0,386.0,0.0,76.0,0.0,76.0,0.0,35.0,0.0
304,343104613.88508517,386.0,0.0,254.0,0.0,76.0,0.0,76.0,0.0,76.0,0.0
305,349796792.3006028,70.0,0.0,70.0,0.0,200.0,0.0,200.0,0.0,114.0,0.0
306,351213348.9684791,380.0,0.0,380.0,0.0,380.0,0.0,422.0,0.0,422.0,0.0
307,353780520.6313678,380.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0
308,355825358.12595904,245.0,0.0,245.0,0.0,245.0,0.0,245.0,0.0,245.0,0.0
309,351138785.2626554,380.0,0.0,380.0,0.0,380.0,0.0,422.0,0.0,422.0,0.0
310,346857108.68174434,321.0,0.0,321.0,0.0,321.0,0.0,60.0,0.0,60.0,0.0
311,349867453.151261,70.0,0.0,70.0,0.0,200.0,0.0,200.0,0.0,114.0,0.0
312,344740339.1430172,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,262.0,0.0
313,336925284.2399233,386.0,0.0,313.0,0.030000000000000013,313.0,0.030000000000000013,313.0,0.02600000000000001,313.0,0.020000000000000004
314,345629204.4789584,321.0,0.0,321.0,0.0,125.0,0.0,125.0,0.0,97.0,0.0
315,348603923.16108006,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0
316,348116358.4907459,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,269.0,0.0
317,354649251.9984635,245.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0,429.0,0.0
318,347421713.46893585,321.0,0.0,321.0,0.0,396.0,0.0,396.0,0.0,396.0,0.0
319,347476173.15842104,321.0,0.0,321.0,0.0,396.0,0.0,396.0,0.0,396.0,0.0
320,345964322.45247173,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,97.0,0.0
321,346346999.8483833,321.0,0.28600000000000003,321.0,0.18800000000000006,321.0,0.12000000000000001,321.0,0.08600000000000001,321.0,0.05800000000000001
322,351601398.3162588,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
323,349760955.3328754,70.0,0.0,70.0,0.0,200.0,0.0,200.0,0.0,114.0,0.0
324,347663828.32612425,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,396.0,0.0
325,348751998.56662613,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0
326,342439304.08670646,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,35.0,0.0
327,347132909.39474565,321.0,0.0,321.0,0.0,396.0,0.0,60.0,0.0,60.0,0.0
328,348006249.2265449,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,269.0,0.0
329,340151868.0366579,386.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0,49.0,0.0
330,351286973.5943157,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0,380.0,0.0
331,345763699.2674122,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,97.0,0.0
332,343391995.9582648,386.0,0.0,254.0,0.0,76.0,0.0,76.0,0.0,131.0,0.0
333,345741464.5913903,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,97.0,0.0
334,346466634.4228548,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0,321.0,0.0
335,347584160.9518381,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,396.0,0.0
336,346826257.23529077,321.0,0.0,321.0,0.0,321.0,0.0,60.0,0.0,60.0,0.0
337,353420512.59853137,380.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0,276.0,0.0
338,342390404.7730725,386.0,0.0,386.0,0.0,386.0,0.0,386.0,0.0,35.0,0.0
339,340600409.3239936,386.0,0.0,401.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
340,347947178.9591394,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,269.0,0.0
341,346967162.2403343,321.0,0.0,321.0,0.0,321.0,0.0,60.0,0.0,60.0,0.0
342,344033263.8607368,386.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0,254.0,0.0
343,344867702.368246,321.0,0.0,254.0,0.0,125.0,0.0,125.0,0.0,262.0,0.0
344,338843586.921661,386.0,0.0,401.0,0.0,401.0,0.0,401.0,0.0,248.0,0.0
345,348594739.1016098,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0
346,348104651.8594472,70.0,0.0,70.0,0.0,396.0,0.0,396.0,0.0,269.0,0.0
