,cost,reduced_scenario_5,probability_5,reduced_scenario_10,probability_10,reduced_scenario_15,probability_15,reduced_scenario_20,probability_20,reduced_scenario_30,probability_30
426,20611357.442575388,212.0,0.0,429.0,0.0,371.0,0.0,371.0,0.0,371.0,0.0
427,18792117.883728925,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0
428,19621914.268773124,95.0,0.0,95.0,0.0,329.0,0.0,450.0,0.0,450.0,0.0
429,20285815.186084434,212.0,0.0,429.0,0.07600000000000001,429.0,0.034,429.0,0.034,429.0,0.02600000000000001
430,19599065.162277438,95.0,0.0,95.0,0.0,329.0,0.0,329.0,0.0,329.0,0.0
431,18942539.451494876,314.0,0.0,314.0,0.0,104.0,0.0,104.0,0.0,104.0,0.0
432,19081175.80445221,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0
433,19397741.54584246,269.0,0.0,269.0,0.0,269.0,0.0,165.0,0.0,165.0,0.0
434,19528310.3289061,269.0,0.0,269.0,0.0,269.0,0.0,52.0,0.0,52.0,0.0
435,19703908.76131912,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0
436,19821161.986115277,95.0,0.0,97.0,0.0,97.0,0.0,97.0,0.0,97.0,0.0
437,21127711.213222012,212.0,0.0,429.0,0.0,371.0,0.0,419.0,0.0,419.0,0.0
438,19612410.6854567,95.0,0.0,95.0,0.0,329.0,0.0,329.0,0.0,329.0,0.0
439,19746706.657574404,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,9.0,0.0
440,19510851.917913217,269.0,0.0,269.0,0.0,269.0,0.0,52.0,0.0,52.0,0.0
441,19498760.59890694,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0
442,19693279.939049736,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0
443,19076303.488704454,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0,314.0,0.0
444,18808255.400643717,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0,139.0,0.0
445,19345373.64829595,269.0,0.0,420.0,0.0,420.0,0.0,165.0,0.0,19.0,0.0
446,19161810.81900111,314.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0,181.0,0.0
447,19872209.02358787,212.0,0.0,97.0,0.0,97.0,0.0,328.0,0.0,328.0,0.0
448,19759251.79886161,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,9.0,0.0
449,20286667.535832647,212.0,0.0,429.0,0.0,429.0,0.0,429.0,0.0,429.0,0.0
450,19656315.496218998,95.0,0.0,95.0,0.0,95.0,0.0,450.0,0.054000000000000006,450.0,0.054000000000000006
451,19759011.56599082,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,9.0,0.0
452,19840408.656875767,95.0,0.0,97.0,0.0,97.0,0.0,97.0,0.0,97.0,0.0
453,19363293.738865282,269.0,0.0,420.0,0.0,420.0,0.0,165.0,0.0,165.0,0.0
454,19357739.813909866,269.0,0.0,420.0,0.0,420.0,0.0,165.0,0.0,19.0,0.0
455,20121380.340509072,212.0,0.0,212.0,0.0,81.0,0.0,81.0,0.0,81.0,0.0
456,19694443.75845825,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,0.0
457,18409060.429269463,139.0,0.0,204.0,0.0,204.0,0.0,204.0,0.0,457.0,0.008
458,19608881.85705985,95.0,0.0,95.0,0.0,329.0,0.0,329.0,0.0,329.0,0.0
459,19446797.294627126,269.0,0.0,269.0,0.0,269.0,0.0,269.0,0.0,166.0,0.0
460,20048423.857312363,212.0,0.0,212.0,0.0,212.0,0.0,212.0,0.0,116.0,0.0
461,19671978.290104132,95.0,0.0,95.0,0.0,95.0,0.0,450.0,0.0,450.0,0.0
462,20138815.70452156,212.0,0.0,212.0,0.0,81.0,0.0,81.0,0.0,81.0,0.0
463,20727414.34009252,212.0,0.0,429.0,0.0,371.0,0.0,371.0,0.0,371.0,0.0
464,19263577.303042807,314.0,0.0,420.0,0.0,196.0,0.0,196.0,0.0,196.0,0.0
465,19786389.633897595,95.0,0.0,97.0,0.0,97.0,0.0,97.0,0.0,9.0,0.0
